              TOKEN             VALUE LINE  POS
                INT               int 0     0
         IDENTIFIER              main 0     4
   OPEN_PARENTHESIS                 ( 0     8
  CLOSE_PARENTHESIS                 ) 0     9
 OPEN_CURLY_BRACKET                 { 1     0
              FLOAT             float 2     4
         IDENTIFIER                 f 2    10
             ASSIGN                 = 2    12
                DOT                 . 2    14
             NUMBER                0f 2    15
         SEMI_COLON                 ; 2    17
CLOSE_CURLY_BRACKET                 } 3     0
